,Clone Group ID,Source Folder,Package,Class,Method,Method Signature,Start Line,End Line,Start Offset,End Offset,#PDG Nodes,#Statements,Line Coverage (%),Clone Group Size,Clone Group Info,Connected,Clone Pair Location,#Refactorable Pairs,Details
4461,10045,tests,org.jfree.data.junit,DefaultKeyedValues2DTests,testGetColumnKey,()V,284,296,9002,9437,,,,2.0,,,Clones are within the same file,,
4462,10045,tests,org.jfree.data.junit,DefaultKeyedValues2DTests,testGetRowKey,()V,257,269,8134,8560,,,,,,,,,
4484,10085,tests,org.jfree.data.time.junit,TimePeriodValueTests,testSerialization,()V,108,130,3141,3841,,,,2.0,,,Clones are in different files,,
4485,10085,tests,org.jfree.data.time.junit,TimeSeriesDataItemTests,testSerialization,()V,121,145,3479,4218,,,,,,,,,
4511,10172,tests,org.jfree.data.time.junit,TimeSeriesTests,testRemoveAgedItems2,()V,759,766,25534,25818,,,,2.0,,,Clones are within the same file,,
4512,10172,tests,org.jfree.data.time.junit,TimeSeriesTests,testRemoveAgedItems,()V,721,728,24015,24299,,,,,,,,,
4611,10388,tests,org.jfree.data.statistics.junit,DefaultBoxAndWhiskerCategoryDatasetTests,testAdd,()V,197,218,7257,8399,,,,2.0,,,Clones are within the same file,,
4612,10388,tests,org.jfree.data.statistics.junit,DefaultBoxAndWhiskerCategoryDatasetTests,testAddUpdatesCachedRange,()V,232,253,8860,9995,,,,,,,,,
4613,10391,tests,org.jfree.chart.axis.junit,LogarithmicAxisTests,checkLogPowRoundTrip,(D)V,163,168,4794,5107,,,,2.0,,,Clones are within the same file,,
4614,10391,tests,org.jfree.chart.axis.junit,LogarithmicAxisTests,checkSwitchedLogPowRoundTrip,(D)V,190,195,5884,6210,,,,,,,,,
4625,10512,tests,org.jfree.chart.renderer.xy.junit,XYLineAndShapeRendererTests,testFindDomainBounds,()V,281,295,8980,9678,,,,2.0,,,Clones are within the same file,,
4626,10512,tests,org.jfree.chart.renderer.xy.junit,XYLineAndShapeRendererTests,testFindRangeBounds,()V,300,314,9782,10466,,,,,,,,,
4656,10615,tests,org.jfree.data.xy.junit,DefaultIntervalXYDatasetTests,testGetXValue,()V,144,152,4255,4676,,,,2.0,Subclone,10619.0,Clones are within the same file,,
4657,10615,tests,org.jfree.data.xy.junit,DefaultIntervalXYDatasetTests,testGetEndYValue,()V,209,217,6858,7306,,,,,,,,,
4674,10638,tests,org.jfree.chart.axis.junit,CategoryLabelPositionTests,testEquals,()V,145,167,5232,6185,,,,2.0,,,Clones are within the same method,,
4675,10638,tests,org.jfree.chart.axis.junit,CategoryLabelPositionTests,testEquals,()V,123,145,4316,5257,,,,,,,,,
4686,10647,tests,org.jfree.chart.renderer.category.junit,StatisticalBarRendererTests,testDrawWithNullDeviationVertical,()V,262,268,8947,9341,,,,2.0,,,Clones are within the same file,,
4687,10647,tests,org.jfree.chart.renderer.category.junit,StatisticalBarRendererTests,testDrawWithNullDeviationHorizontal,()V,289,295,10005,10399,,,,,,,,,
4760,10948,tests,org.jfree.chart.axis.junit,PeriodAxisTests,testEquals,()V,140,153,4413,4880,,,,2.0,,,Clones are within the same file,,
4761,10948,tests,org.jfree.chart.axis.junit,PeriodAxisTests,testCloning,()V,222,234,7085,7514,,,,,,,,,
4773,10970,tests,org.jfree.chart.entity.junit,StandardEntityCollectionTests,testEquals,()V,88,92,2877,3097,,,,2.0,,,Clones are within the same method,,
4774,10970,tests,org.jfree.chart.entity.junit,StandardEntityCollectionTests,testEquals,()V,94,97,3127,3339,,,,,,,,,
4780,11023,tests,org.jfree.chart.axis.junit,MarkerAxisBandTests,testEquals,()V,92,102,2931,3377,,,,2.0,Subclone,11024.0,Clones are within the same method,,
4781,11023,tests,org.jfree.chart.axis.junit,MarkerAxisBandTests,testEquals,()V,102,112,3355,3785,,,,,,,,,
4782,11024,tests,org.jfree.chart.axis.junit,MarkerAxisBandTests,testEquals,()V,92,107,2931,3581,,,,2.0,,,Clones are within the same method,,
4783,11024,tests,org.jfree.chart.axis.junit,MarkerAxisBandTests,testEquals,()V,97,112,3143,3785,,,,,,,,,
